ROI	mean	min	max	std
dACC_10_AScorr_r	0.48234	-0.35725	0.937437	0.245865	
FEF_R_AScorr_r	0.472985	-0.130985	0.888577	0.205954	
FEF_L_AScorr_r	0.662463	-0.106723	0.937986	0.209588	
SEF_AScorr_r	0.488008	-0.204565	0.835902	0.239287	
preSMA_AScorr_r	0.540934	-0.304666	0.869289	0.21807	
PPC_R_AScorr_r	0.600891	-0.0829493	0.928861	0.230648	
PPC_L_AScorr_r	0.565111	-0.552049	0.928495	0.237538	
putamen_R_AScorr_r	0.143999	-0.411176	0.525651	0.189799	
putamen_L_AScorr_r	0.138491	-0.299325	0.49675	0.187071	
dlPFC_R_AScorr_r	0.280652	-0.370342	0.82519	0.253483	
dlPFC_L_AScorr_r	0.214016	-0.722922	0.844325	0.300091	
vlPFC_R_AScorr_r	0.440345	-0.350322	0.963957	0.289068	
vlPFC_L_AScorr_r	0.437175	-0.463881	0.845698	0.263795	
V1_bilat_AScorr_r	0.408532	-0.390728	0.922116	0.286407	
insula_R_AScorr_r	0.372588	-0.43614	0.859737	0.241095	
insula_L_AScorr_r	0.145987	-0.670461	0.851405	0.312131	
cerebellum_R_AScorr_r	0.136781	-0.544633	0.767723	0.2969	
cerebellum_L_AScorr_r	0.0955923	-0.643849	0.578509	0.244957	
dACC_10_ASerrCorr_r	0.0277404	-0.627613	0.902066	0.278209	
FEF_R_ASerrCorr_r	0.0891463	-0.653981	0.788964	0.303866	
FEF_L_ASerrCorr_r	0.161967	-0.681875	0.85113	0.352233	
SEF_ASerrCorr_r	0.365605	-0.480209	0.8146	0.267649	
preSMA_ASerrCorr_r	0.282976	-0.6133	0.88232	0.29567	
PPC_R_ASerrCorr_r	0.316131	-0.645192	0.913541	0.351043	
PPC_L_ASerrCorr_r	0.317297	-0.641072	0.917783	0.331985	
putamen_R_ASerrCorr_r	-0.110444	-0.538346	0.667134	0.294773	
putamen_L_ASerrCorr_r	0.157116	-0.270608	0.646321	0.240095	
dlPFC_R_ASerrCorr_r	-0.00474377	-0.720145	0.798761	0.311193	
dlPFC_L_ASerrCorr_r	-0.0093383	-0.699545	0.843745	0.324414	
vlPFC_R_ASerrCorr_r	0.271867	-0.55443	0.805749	0.263577	
vlPFC_L_ASerrCorr_r	0.0817273	-0.551622	0.840418	0.313803	
V1_bilat_ASerrCorr_r	0.14905	-0.71749	0.902218	0.326334	
insula_R_ASerrCorr_r	0.0136183	-0.819239	0.676565	0.337576	
insula_L_ASerrCorr_r	0.0316945	-0.846003	0.705252	0.262748	
cerebellum_R_ASerrCorr_r	0.000560934	-0.747856	0.813654	0.31852	
cerebellum_L_ASerrCorr_r	0.0989772	-0.760124	0.786034	0.365153	
dACC_10_VGScorr_r	-0.1535	-0.793054	0.497635	0.272343	
FEF_R_VGScorr_r	0.0779359	-0.641835	0.715537	0.271861	
FEF_L_VGScorr_r	0.267483	-0.468489	0.829035	0.286383	
SEF_VGScorr_r	0.107505	-0.47441	0.59682	0.235994	
preSMA_VGScorr_r	0.0854793	-0.52211	0.510727	0.204261	
PPC_R_VGScorr_r	-0.1884	-0.797693	0.503982	0.273724	
PPC_L_VGScorr_r	-0.0677693	-0.660115	0.59212	0.27541	
putamen_R_VGScorr_r	0.00761785	-0.451063	0.450911	0.192719	
putamen_L_VGScorr_r	0.000198103	-0.555559	0.452833	0.234735	
dlPFC_R_VGScorr_r	0.0568278	-0.780114	0.80517	0.317048	
dlPFC_L_VGScorr_r	-0.00674019	-0.728721	0.737022	0.296252	
vlPFC_R_VGScorr_r	-0.0660124	-0.752647	0.539537	0.230701	
vlPFC_L_VGScorr_r	-0.0520199	-0.684194	0.678487	0.268231	
V1_bilat_VGScorr_r	-0.169645	-0.834254	0.696981	0.266885	
insula_R_VGScorr_r	-0.0155549	-0.615436	0.548234	0.266343	
insula_L_VGScorr_r	-7.33869e-05	-0.605609	0.614765	0.211816	
cerebellum_R_VGScorr_r	0.0172208	-0.632984	0.735069	0.273287	
cerebellum_L_VGScorr_r	-0.00494953	-0.616504	0.681722	0.255137	
