x	y	z	c	varI	varS	sexI	sexS	iqI	iqS	region
-53.8	53.6	31.1	14	0	1	0	0	1	0	RightAngularGyrus
-52.5	16.9	31.1	15	1	0	0	1	0	0	RightPostcentralGyrus
-52.5	16.9	31.1	15	1	1	0	1	0	0	RightPostcentralGyrus
-52.5	16.9	31.1	15	0	1	0	1	0	0	RightPostcentralGyrus
-46.3	12.6	58.1	14	0	1	0	0	0	1	RightPrecentralGyrus
-45.6	12.1	8.9	29	1	0	1	0	0	0	RightHeschlsGyrus
-45.6	12.1	8.9	29	1	1	1	0	0	0	RightHeschlsGyrus
-45.0	13.5	8.5	39	0	1	1	0	0	0	RightInsulaLobe
-41.1	67.1	-31.7	32	1	0	1	0	0	0	RightCerebellum(Crus2)
-41.1	67.1	-31.7	32	1	1	1	0	0	0	RightCerebellum(Crus2)
-40.7	67.2	-31.6	40	0	1	1	0	0	0	RightCerebellum(Crus2)
-38.0	63.3	51.4	22	1	0	0	0	1	0	RightAngularGyrus
-33.0	-11.4	35.8	14	1	0	0	0	1	0	Within2mm:RightMiddleFrontalGyrus
-33.0	-11.4	35.8	14	1	1	0	0	1	0	Within2mm:RightMiddleFrontalGyrus
-33.0	-11.4	35.8	14	0	1	0	0	1	0	Within2mm:RightMiddleFrontalGyrus
-23.2	22.1	57.0	16	0	1	0	0	1	0	RightPrecentralGyrus
-16.0	86.3	-12.1	53	1	1	1	0	0	0	RightCerebellum(Crus1)
-15.9	79.7	8.6	14	1	0	1	0	0	0	RightCalcarineGyrus
-15.9	79.7	8.6	14	1	1	1	0	0	0	RightCalcarineGyrus
-15.9	79.7	8.6	14	0	1	1	0	0	0	RightCalcarineGyrus
-15.8	86.2	-12.0	54	1	0	1	0	0	0	RightCerebellum(Crus1)
-15.8	86.3	-11.9	57	0	1	1	0	0	0	RightCerebellum(Crus1)
-6.8	-30.2	-20.6	21	0	1	0	1	0	0	RightRectalGyrus
-6.6	42.2	46.3	16	0	1	1	0	0	0	RightPrecuneus
-6.3	42.3	46.3	15	1	0	1	0	0	0	RightPrecuneus
-6.3	42.3	46.3	15	1	1	1	0	0	0	RightPrecuneus
2.9	37.2	1.7	20	1	0	1	0	0	0	Within1mm:LeftCerebellum(IV-V)
2.9	37.2	1.7	20	1	1	1	0	0	0	Within1mm:LeftCerebellum(IV-V)
3.1	37.1	1.8	23	0	1	1	0	0	0	Within1mm:LeftCerebellum(IV-V)
4.8	-40.7	29.7	18	1	0	0	0	1	0	LeftSuperiorMedialGyrus
4.8	-40.7	29.7	18	1	1	0	0	1	0	LeftSuperiorMedialGyrus
4.8	-40.7	29.7	18	0	1	0	0	1	0	LeftSuperiorMedialGyrus
9.5	83.5	-31.9	74	0	1	1	0	0	0	Within1mm:LeftCerebellum(Crus2)
11.5	85.4	-29.7	47	1	0	1	0	0	0	LeftCerebellum(Crus2)
11.5	85.4	-29.7	47	1	1	1	0	0	0	LeftCerebellum(Crus2)
41.8	6.8	-4.0	18	0	1	1	0	0	0	LeftInsulaLobe
